ratio,maximum,success
72.68,9822.0,3783.0
99.514,9209.0,3894.0
70.941,9234.0,3198.0
98.727,8484.0,1784.0
5.6,8583.0,3767.0
99.011,8435.0,1301.0
61.746,6561.0,1740.0
98.575,8283.0,1107.0
90.381,6525.0,1541.0
98.801,8166.0,1154.0
85.2,6549.0,1963.0
99.246,8222.0,1447.0
86.373,6829.0,2884.0
99.381,8675.0,2408.0
72.559,7709.0,4593.0
99.329,9276.0,3257.0
58.912,8555.0,5199.0
99.644,10050.0,4197.0
66.1,9363.0,5869.0
99.265,10428.0,3648.0
60.295,9709.0,5277.0
99.433,10652.0,3331.0
62.22,9982.0,5397.0
99.078,10792.0,3333.0
66.557,10171.0,5459.0
99.377,10792.0,3352.0
64.062,10319.0,5173.0
99.177,10801.0,3011.0
74.812,10375.0,5263.0
99.567,10721.0,3448.0
79.439,10468.0,6599.0
99.152,10551.0,3157.0
93.035,10523.0,6331.0
99.615,10534.0,3367.0
80.452,10517.0,6585.0
99.227,10412.0,3210.0
69.278,10322.0,6084.0
99.31,10316.0,3597.0
61.466,10379.0,5937.0
99.429,10220.0,4178.0
62.639,10488.0,6926.0
99.533,10097.0,3408.0
54.113,10609.0,5460.0
99.454,10047.0,3094.0
62.178,10670.0,5882.0
99.437,9944.0,3002.0
61.472,10496.0,4978.0
98.952,9663.0,2077.0
68.66,9939.0,3284.0
99.499,9230.0,3775.0
67.098,9316.0,3112.0
99.101,8457.0,1323.0
83.181,8646.0,2092.0
98.516,8033.0,996.0
89.1,8355.0,1594.0
99.066,7842.0,1061.0
84.021,8075.0,1772.0
98.016,7674.0,988.0
79.312,7887.0,2005.0
98.648,7790.0,1240.0
77.1,8175.0,2983.0
99.371,8311.0,2370.0
58.929,8930.0,4600.0
99.247,9010.0,3558.0
59.162,9956.0,5566.0
99.527,9814.0,3787.0
53.719,10613.0,5236.0
99.194,10171.0,3694.0
53.972,10924.0,5021.0
98.874,10336.0,3425.0
59.797,11050.0,4956.0
99.329,10404.0,3258.0
48.736,11389.0,5573.0
98.848,10153.0,3346.0
71.355,11382.0,5510.0
99.311,10172.0,3603.0
67.507,11375.0,6665.0
99.156,10193.0,3054.0
90.5,11397.0,5344.0
99.254,10146.0,2926.0
89.236,11483.0,5712.0
99.411,9998.0,3039.0
99.087,11472.0,5103.0
99.45,9894.0,2891.0
70.932,11467.0,6042.0
98.98,9736.0,3397.0
88.528,11232.0,6644.0
99.472,9600.0,3201.0
77.049,11248.0,6553.0
99.611,9416.0,4353.0
15.194,11297.0,7571.0
99.086,9430.0,3686.0
5.49,6786.0,6782.0
99.422,9525.0,2579.0
49.425,7805.0,4724.0
99.389,9324.0,2113.0
78.289,7816.0,3808.0
99.641,8933.0,4162.0
73.66,7632.0,3697.0
99.291,8393.0,1400.0
91.823,7245.0,2257.0
98.402,7995.0,1047.0
86.0,6990.0,1892.0
98.156,7779.0,958.0
91.212,6803.0,1588.0
98.702,7554.0,1141.0
94.913,6776.0,1903.0
98.892,7588.0,1339.0
76.046,6994.0,3016.0
99.254,7994.0,2263.0
73.133,7713.0,4339.0
99.544,8382.0,2836.0
78.96,8475.0,5085.0
99.446,8953.0,3588.0
88.976,9264.0,5327.0
99.348,9305.0,3198.0
84.319,9567.0,5474.0
99.141,9410.0,3117.0
90.525,9748.0,5465.0
99.502,9429.0,3200.0
99.1,9902.0,4843.0
99.234,9352.0,3109.0
99.092,9979.0,4585.0
99.379,9351.0,2880.0
98.955,10041.0,4641.0
99.32,9231.0,2923.0
99.16,10106.0,4959.0
99.025,9145.0,2741.0
98.185,10127.0,4814.0
99.127,8979.0,2724.0
98.944,10256.0,4777.0
99.337,9076.0,3146.0
71.455,10345.0,6561.0
99.267,9141.0,3113.0
90.841,10177.0,5931.0
99.317,9297.0,2909.0
99.319,10525.0,5398.0
99.481,9348.0,3064.0
80.254,10706.0,7190.0
99.472,9373.0,2828.0
73.205,10574.0,5770.0
99.295,9260.0,2396.0
87.593,10367.0,5168.0
99.399,9183.0,2151.0
95.864,9987.0,3732.0
99.411,8730.0,3714.0
93.704,9592.0,3319.0
98.439,8197.0,1387.0
73.99,8867.0,2142.0
